Q106026420	PITVQFJBUFDJDD-XEGUGMAKSA-N
Q106026422	DXYQIGZZWYBXSD-JSGCOSHPSA-N
Q106026430	DEFJQIDDEAULHB-UHFFFAOYSA-N
Q106026438	KCOLRAYANGZVFU-NTSWFWBYSA-N
Q106026442	NPDLYUOYAGBHFB-WDSKDSINSA-N
Q106026446	YFUZVOLEKQFVCQ-OKCRAPNYSA-N
Q106026454	UULYLRNRQOWCOR-ZHTHUIBPSA-N
Q106026464	JQDFGZKKXBEANU-IMJSIDKUSA-N
Q106026466	WJDUWENBTQEKDZ-UHFFFAOYSA-N
Q106026470	OSASDIVHOSJVII-WDSKDSINSA-N
Q106026477	LVNMAAGSAUGNIC-BQBZGAKWSA-N
Q106026487	CTCFZNBRZBNKAX-YUMQZZPRSA-N
Q106026488	JYOAXOMPIXKMKK-YUMQZZPRSA-N
Q106026492	RQNSKRXMANOPQY-UHFFFAOYSA-N
Q106026495	KNPVDQMEHSCAGX-UWVGGRQHSA-N
Q106026499	BEPSGCXDIVACBU-IUCAKERBSA-N
Q106026507	UQTNIFUCMBFWEJ-IWGUZYHVSA-N
Q106026516	NZCPCJCJZHKFGZ-AAEUAGOBSA-N
Q106026525	SENJRJSYZYHHNX-GJGOEQTPSA-N
Q106026537	PUDHBTGHUJUUFI-PURAGXGVSA-N
Q106026544	BGIJKXPGBVLFNE-QPMVQTCISA-N
Q106026547	COCDQOPLXJZUQH-BNKUIMBYSA-N
Q106026548	YWTZDYCKANOSKB-IQUKSXAPSA-N
Q106026554	OPFJDXRVMFKJJO-ZHHKINOHSA-N
Q106026557	WKQLJWDFCOOIFF-SIMXMABKSA-N
Q106026562	DFQWIBUZXHBIMO-RKWCDEMWSA-N
Q106026564	ZGXXPSIUUSHOHR-ULQDDVLXSA-N
Q106026572	OFSHRWCWYJBWJP-NMVUUJPQSA-N
Q106026582	LQGCNWWLGGMTJO-ULQDDVLXSA-N
Q106026583	MTHDIEPOBSRDIV-ULQDDVLXSA-N
Q106026584	RLAOTFTXBFQJDV-KKUMJFAQSA-N
Q106026592	QCBYAHHNOHBXIH-UWVGGRQHSA-N
