Q110168202	LIOXJPPHADEFJM-CSGAWJIWSA-N
Q110168206	AYZHFLVNHAQMID-JVYDVMDSSA-N
Q110168218	ZXLVBNBARMXEBG-UHFFFAOYSA-N
Q110168242	PDYFRRZJPCCQRD-KSCOTYGWSA-N
Q110168244	RWYONNJIOCBIMI-OAHLLOKOSA-N
Q110168253	PRNLRGRQFCJOFS-FZMZJTMJSA-N
Q110168254	NBPAZLNDCXUMSM-SZSAWXPCSA-N
Q110168257	WXYOJFGZCRSXDT-SECAHVEMSA-N
Q110168258	MJAYJPZTXHZTLP-LJQANCHMSA-N
Q110168259	AWIDVOUTUFMVPQ-SYEQPEDASA-N
Q110168265	YHKNYPIHDQHERL-SQTRHHLMSA-N
Q110168266	MAVGJTDIAPQKEP-GFCCVEGCSA-N
Q110168271	HWMMWMJBUOCCFZ-HXFLIBJXSA-N
Q110168276	AFDSDRVMDUIHOF-WLQWLBEYSA-N
Q110168279	SFQAAZYFEPVWTC-RDOOFJRMSA-N
Q110168291	SPNKWZAAMWRJBJ-OCRKJWHNSA-N
Q110168295	QCDLQCCTHSWPBS-VSGBNLITSA-N
Q110168303	NKDDWRFPMADJKX-XSHRGJNRSA-N
Q110168309	CEBXSUCZDGSCIC-BQBZGAKWSA-N
Q110168314	WJEBWULXGPDPBD-BRPFIRHGSA-N
Q110168316	CBQSQQCAFNEQFL-PLEWWHCXSA-N
Q110168325	YSGBEFDGBKQJTK-VUHKNJSWSA-N
Q110168346	CVFXTHLJDCCOQN-TXUWIWCQSA-N
Q110168348	YWLUOKNUCHQDAC-DPEAJVMMSA-N
Q110168351	LOUBODOSUOBYTK-SECBINFHSA-N
Q110168352	FORDSCBVDCJMEH-CGAUKSQNSA-N
Q110168353	GTKKLIYNQCXJMH-GFOWMXPYSA-N
Q110168354	CTNZOGJNVIFEBA-HFCFLWKCSA-N
Q110168356	OOHPMURDIUCNIG-PMERELPUSA-N
Q110168357	NRRLTLDCIOYASW-DKSJQKFTSA-N
Q110168358	ZYJFDUIHHCEQNR-FLWLWLQRSA-N
Q110168359	BDHRIAWSFKZLSN-ONNKWRDQSA-N
Q110168361	KPUHAJPJYZHSQY-GMQQQROESA-N
Q110168362	PMDYHIAMOYUOJS-AUKSUVCXSA-N
Q110168363	BDHRIAWSFKZLSN-ZDLFGTGMSA-N
Q110168365	HZPYWBLIVTTWQN-YUSVDLJSSA-N
Q110168366	NNDWZOKTFOCYKI-VPWBDBDCSA-N
Q110168367	SFXQGFQDGMHFCG-NPMFFISESA-N
Q110168368	UDWLQTHZFSAAHA-KNMMEEQTSA-N
Q110168370	OZGOKOLHFUZHBK-ZQXTUVRUSA-N
Q110168371	KLZBTEAFUVTFPC-RZIRKPLNSA-N
Q110168373	NYCXYCGYQNIQSJ-NEOHGDIRSA-N
Q110168374	RFTCCHRJHJWRKA-JDBUVZGPSA-N
Q110168375	QIYAHVFPCSLOLV-HFUIXXASSA-N
Q110168380	UUMRLFAHEFYGJM-UIOOFZCWSA-N
Q110168381	MQRYPXXPMWCWNO-QWAKEFERSA-N
Q110168382	ZNJFBWYDHIGLCU-NXEZZACHSA-N
Q110168383	RBCVCNVBAWEHLS-UNFRMQPBSA-N
Q110168384	KOBHRKRRZILYFW-FNLHRSDSSA-N
Q110168385	DBTIHDIIXPQOFR-TXANZWPVSA-N
Q110168388	VAEJXEVKHVVLMH-PTQUBOABSA-N
