Q120310972	NHOVCGWYDMSFMH-FMECKOKGSA-N
Q120310977	WXNDWBCNJOAEJF-KOXHLKJNSA-N
Q120310986	AQWQJIDCKUOKAY-RIZVLYKNSA-N
Q120311001	LEQIXGBEZBNXGA-JCXFCRQFSA-N
Q120311007	ZGSOBILXFPXOHZ-QNZMSYMZSA-N
Q120311011	SZOXZKIJYLNJHR-IEVJMAIKSA-N
Q120311016	GKUOBXNAKFCQRU-KMPZTKSBSA-N
Q120311021	FMUCFHWUEVBSIA-YIRSFEKTSA-N
Q120311028	SOTXGCXAJCDUSY-WTDVCLANSA-N
Q120311030	IYOGNJOINLMMHG-QJECACJOSA-N
Q120311032	DTYJSYMMNJFNCQ-OVDDOCTESA-N
Q120311035	KUFPRCTVHWBJHF-DHSHJIJTSA-N
Q120311038	VLEQPHQNQRKLLX-UKEDJSMESA-N
Q120311039	XUCBELRZOBRLHE-MBZMYTLASA-N
Q120311048	SILWJQMFANCRIG-HWQYNKDWSA-N
Q120311051	BGACOMFOSIWHOI-ZWXPMBJISA-N
Q120311056	MCXSKQWYNRNLGF-GQPHTWMHSA-N
Q120311060	BVCAYNMTQRENAL-KUDWPPLOSA-N
Q120311064	CRMBDNVWTUGBMN-FQTJGYFUSA-N
Q120311066	DNEIBWIGGRQBMO-RYYNODHJSA-N
Q120311067	KQACSJMAYRUMKC-CQSPWIKMSA-N
Q120311077	HIDXCVGSSKZEMB-JLDMFRLUSA-N
Q120311082	URTRMGALUFYRQE-ORRJXTCSSA-N
Q120311084	IPCDIDJTISNOLB-VJSZKWLZSA-N
Q120311091	LQYHWTQSXZDMFT-CAKXIDLISA-N
Q120311097	NDNLTVYPCHMEQR-UVZRWLGFSA-N
Q120311099	ABSPOZQYTJZTDW-VZDYQWRFSA-N
Q120311107	BTZOBOVIQXYFAR-NJXCWUJZSA-N
Q120311108	MKSZRYXUROVQGL-RZUOFOGFSA-N
Q120311110	PJDVMSNFKJPOAX-NSVJKKFVSA-N
Q120311120	SCBGLKWFXQKWHA-ASCTXPRASA-N
Q120311121	JXTJFXDGYRMBCO-FKWMZLEJSA-N
Q120311124	ROAKRTPKIHBOGL-QRLGJTFZSA-N
Q120311129	IKWXYRYXPYLGDI-VVJMSEJKSA-N
Q120311135	MAWGKHZKRMXGKE-LMGAJUDXSA-N
Q120311137	MSUZLFTUJOFECH-CIPBDESRSA-N
Q120311139	OTNFOGMPLMPWOU-BJOKVKRHSA-N
Q120311141	WKNBDLLOCPAUPD-VCPGCBJVSA-N
Q120311146	MXOHINUJJXYGMR-RRSBBRIRSA-N
Q120311150	PQFJNJDRSWELPU-LGRJZJFFSA-N
Q120311152	APIJXQIPZIJFGI-RBRHAEDKSA-N
Q120311153	OHFGPTPRMJDUKH-FHDIBYGZSA-N
Q120311240	UFUMLNAHYBAUKI-IEROUHPHSA-N
Q120311241	UXQKXLLYMNRLHN-XLIVNHJLSA-N
Q120311243	ZGRHZQMDQQFMME-VRSMNSPCSA-N
Q120311246	WHUYXDBKZOGVHD-HKAVRQNJSA-N
Q120311250	DJAUZMUFOTYMMI-QTSSGCEISA-N
Q120311253	XNPYDXUCKFZMGG-JYXIPZFISA-N
Q120311254	YDGXTBXHWARBNI-WTKAMDENSA-N
Q120311257	DWGPHTIICYADRO-AEVXOLMPSA-N
Q120311262	OXBSEZVZDYIYLW-RFRRRKNSSA-N
Q120311266	AWSPQKRMJYMJJN-JMTJMCRBSA-N
Q120311268	OQVHVNOTZDWZPU-OEKSRJKNSA-N
Q120311269	BMKGVIWEXORLPR-NHCONJQASA-N
Q120311271	UYUZQMIXAVPNIZ-XLPMURTQSA-N
Q120311274	FUJINBUACNLJIK-VIGWCXIXSA-N
Q120311279	XVYUJYVITUTKET-MMVRYLQTSA-N
Q120311281	DIGVZHFOQWDIAN-XEPQIOIISA-N
Q120311298	FTDWLFBORBUFNO-WIAXNDTPSA-N
Q120311300	SXUJPTWHFARFAS-WZYYJWNZSA-N
Q120311308	ACRORHSOSQHWND-WRSKQTTFSA-N
Q120311313	SNPQQVVSUHRVAL-VDWNENOSSA-N
Q120311315	CNZYXRWOPYTPBE-JCGOJSMZSA-N
Q120311318	PYKYWGGAFXYESU-YWPUXERESA-N
Q120311325	KNMNKNMFZYWLCN-SHSUNWIFSA-N
Q120311327	QAHNTDWPJYCSSH-KOUNHPINSA-N
Q120311332	WMRHVNPMUJEDMG-NCAZSXBNSA-N
Q120311336	UGTLRZRRVSLPJB-KOVRFOQHSA-N
Q120311338	SROIVZRPDDUUKE-GFZIUNDHSA-N
Q120311347	GOEUJYYWVYDXKG-YLYHLXCMSA-N
Q120311349	DFPWWGPQYCCZEM-LIIAZLHSSA-N
Q120311351	ZHRYLQRQJRPRQV-FRLSYQLESA-N
Q120311354	QRSHKROOJVNJFH-XABOAZGISA-N
Q120311359	WKKWMYWJHQWAFW-GFSQTVQMSA-N
Q120311362	BLJBKYUMFRTWIY-FKWMZLEJSA-N
Q120311373	GATLYFXCUYCHPX-VMSLQIGHSA-N
Q120311380	BULPVWJAFKPDEP-CIYYCOHDSA-N
Q120311384	VULMKIJGYBLJCL-MSILKGAPSA-N
Q120311386	ALBBJQRTAADVGM-OOSNVOLTSA-N
